formatter|man|tomica|Tomica Lineup
page|b:bgc,#FFFFFF|b:c,#000000|l:c,#0000CC|v:c,#CC0000
style|.table|bgc,#FFFFFF
data|m|id,subid,first_year,scale,rawname,desc
data|H|year,label,title

H|1970|m|Tomica Models


m| 33|  2|1975|  1:96|Ishiko Pic Rover Rs Crane
m| 33|  3|1978|  1:63|Toyota Celca LB2000GT
m| 33|  4|1982|  1:64|Toyota Celca XX2800GT
m| 33|  5|1986|  1:58|Toyota Celca 2000GT-R
m| 33|  6|1994|  1:60|Toyota Supra
m| 33|  7|2005|  1:59|Toyota Vitz
m| 33|  8|2009|  1:56|Daihatsu Move Conte
m| 33|  9|2013|  1:66|Volkswagen Beetle Stanza 

m| 34|  1|1972|  1:62|Mazda RX500
m| 34|  2|1979|      |Electric Locomotive ED-75
m| 34|  3|1981|  1:59|Honda Civic Wagon
m| 34|  4|1984|  1:60|Nissan Bluebird Wagon
m| 34|  5|1992|  1:64|Mazda 787B
m| 34|  6|2002|  1:60|Mitsubishi Lancer Evolution VII GT-A
m| 34|  7|2008|  1:65|Mitsubishi Delica D:5
m| 34|  8|2011| 1:122|PW200 Komatsu Hydraulic Excavator

m| 35|  1|1972|  1:67|Isuzu Elf Dump Truck
m| 35|  2|1980|  1:68|Dome Celica Turbo
m| 35|  3|1991|      |Mitsubishi Pajero Big Foot
m| 35|  4|2002|  1:58|Nissan March
m| 35|  5|2008|  1:55|Subaru Samber Noodls Truck

m| 36|  1|1972|  1:67|Isuzu Elf Refuse Truck
m| 36|  2|1980|  1:67|Nissan Caravan Ambulance
m| 36|  3|1988|  1:66|Toyota Hiace Ambulance
m| 36|  4|2001|  1:64|Toyota Majesta Patrol Car
m| 36|  5|2005|  1:57|Toyota Probox Highway Patrol Car
m| 36|  6|2007|  1:68|Nexco Self Run Type Mark Car
m| 36|  7|2011|  1:64|Suzuki Swift
m| 36|  8|2014| 1:171|Thomas Land Express

m| 37|  1|1972|  1:67|Isuzu Elf Vacuum Car
m| 37|  2|1977|  1:77|Isuzu Low Decker Bus
m| 37|  3|1980|  1:54|Toyota Jobsun SDK8 Shovel
m| 37|  4|1995|      |Coca-Cola Event Car
m| 37|  5|2006|      |Coca-Cola Event Car
m| 37|  6|2009|      |Coca-Cola Event Car
m| 37|  7|2012|      |Hino Dutro Truck with Crane

m| 38|  1|1972|  1:68|Toyota Hiace Van
m| 38|  2|1977|  1:68|Toyota Dyna Van
m| 38|  3|1978|  1:64|Mazda Cosmo L Coupe
m| 38|  4|1982|  1:60|Mitsubishi Lancer Turbo
m| 38|  5|1987|  1:78|Isuzu Elf Aerial Truck
m| 38|  6|1999| 1:145|Pokemonr Bus
m| 38|  7|2011|  1:89|Mobile Rescue Vehicle

m| 39|  1|1972|  1:68|Toyota Hiace Wrecker
m| 39|  2|1976|  1:68|Toyota Dyna Wrecker
m| 39|  3|1980|  1:55|Suzuki Carry Farm Truck
m| 39|  4|2001| 1:122|Lift-Magnet Power Shovel
m| 39|  5|2009|  1:61|Mitsubishi Lancer Evolution X Police

m| 40|  1|1972|  1:70|Toyota Fs55V Ambulance
m| 40|  2|1992|  1:59|Nissan Skyline GTR Racing (JECS)
m| 40|  3|1993|  1:59|Nissan Skyline GTR Racing (Unisia JECS)
m| 40|  4|1997|  1:60|Nissan Skyline GTR Racing (R33)
m| 40|  5|2001|  1:61|Nissan Skyline Racing (R34)
m| 40|  6|2005|  1:61|Mitsuoka Viewt
m| 40|  7|2010|  1:57|Nissan Fairlady Z 40 Anniversary Car

m| 41|  1|1973| 1:156|Mitsubishi Fuso Bus
m| 41|  2|1976| 1:148|Fuji Semi-Decker Bus
m| 41|  3|1981| 1:116|Hino Skeleton Rainbow Bus
m| 41|  4|1988| 1:145|Isuzu Hi-Decker Bus
m| 41|  5|2003|      |Morita Fire Engine Type Cd-I

m| 42|  1|1972|  1:62|Datsun 1300 Truck
m| 42|  2|1976| 1:102|Nissan Diesel Jet Pack Truck
m| 42|  3|1982|  1:34|Honda Cb750F
m| 42|  4|2004|      |Satellite Relay Truck
m| 42|  5|2007| 1:139|Caterpillar Track Type Tractor
m| 42|  6|2008| 1:156|Hato Bus

m| 43|  1|1972|  1:66|Toyota Century
m| 43|  2|1987| 1:120|Nissan Diesel Crane
m| 43|  3|2006|  1:57|Mini Cooper

m| 44|  1|1971|  1:60|Datsun Fairlady Z Patrol Car
m| 44|  2|1975|  1:60|Datsun 240Zg Patrol Car
m| 44|  3|1980|  1:61|Datrun Fairlady 280Z Patrol Car
m| 44|  4|1984|  1:61|Nissan Fairlady Z Patrol Car
m| 44|  5|1990|  1:59|Nissan Fairlady Z 300Zx Patrol Car
m| 44|  6|2005|  1:59|Mazda Rx-8 Patrol Car
m| 44|  7|2012|  1:62|Renault Megane RS

m| 45|  1|1971|  1:60|Mazda Cosmo Sport Patrol Car
m| 45|  2|1977|  1:64|Mazda Cosmo Ap Patrol Car
m| 45|  3|1980|  1:55|Suzuki Carry Noodles Truck
m| 45|  4|2006|      |Toyota Dyna Refuse Truck

m| 46|  1|1972|  1:88|Mazda Light Bus
m| 46|  2|1979|  1:58|Dome Zero
m| 46|  3|1992|  1:54|Toyota Celica 2000GT-R Rally
m| 46|  4|1996|  1:66|Honda Odyssey
m| 46|  5|2001|  1:66|Honda Odyssey
m| 46|  6|2004|  1:64|Honda Odyssey
m| 46|  7|2009|  1:65|Honda Odyssey
m| 46|  8|2012|  1:60|Toyota 86

m| 47|  1|1973|  1:65|Datsun Cedric Wagon
m| 47|  2|1977|  1:65|Datsun Gloria Wagon
m| 47|  3|1979|  1:65|Datsun Cedric Airport Taxi
m| 47|  4|1981|  1:72|Mitsubishi Canter Refuse Truck
m| 47|  5|2006|      |Animal Carrier (Penguin)
m| 47|  6|2010| 1:104|Rotary Snow Plow HTR265

m| 48|  1|1972|  1:56|Nissan Sunny 1200 With Sky Carrier
m| 48|  2|1973|  1:56|Komatsu FD30 Forklift
m| 48|  3|1979| 1:190|Mitsunishi P.T.V. Elevating Bus
m| 48|  4|1982|  1:62|Mitsubishi Starion 2000 Turbo
m| 48|  5|1989|  1:78|Isuzu Elf Snow Plough
m| 48|  6|1998|      |Sl Type Bus
m| 48|  7|2005|  1:64|Toyota Hiace Multi Purpose Car
m| 48|  8|2009|  1:59|Toyota Vellfire
m| 48|  9|2014|  1:56|Suzuki Alto patrol car

m| 49|  1|1972|  1:60|Honda 1300 Coupe With Surf Carrier
m| 49|  2|1973|  1:81|Isuzu Elf High Roof Van
m| 49|  3|1978|  1:72|Isuzu Elf FF Van
m| 49|  4|1981|  1:28|Suzuki Genma
m| 49|  5|1985|  1:64|March 85G
m| 49|  6|1991| 1:130|Mitsubishi Fuso Zoo Park Bus
m| 49|  7|2001|  1:78|Yamazaki Bread Truck
m| 49|  8|2008|      |Yamazaki Bread Truck

m| 50|  1|1972|  1:68|Toyota Hiace Farm Truck
m| 50|  2|1977|  1:68|Toyota Dyna Farm Truck
m| 50|  3|1979|  1:60|Mazda Savanna Rx-7 Limited (SA22)
m| 50|  4|1986|  1:55|Mazda Savanna Rx-7 (FC3S)
m| 50|  5|1997|  1:64|Toyota Ipsum
m| 50|  6|2003|  1:58|Nissan Fairlady Z Racing Type
m| 50|  7|2008|  1:64|Nissan GT-R Racing Car
m| 50|  8|2010|  1:64|Hasemi Ebbro Tomica GT-R
